Fish ID,Block,Density,Standard Length (mm),Type,Wet Weight (mg),Body Condition (mg)
L010,1,High,21,CC,81.5,55.73717679
L016,1,High,21,CC,105.2,71.94541101
L017,1,High,23,CC,137,76.70895598
L018,1,High,21,CC,103.7,70.91957331
L019,1,High,22,CC,109.8,67.79089458
L020,1,High,21,CC,109,74.5441996
L021,1,High,20,CC,118,89.83700936
L022,1,High,21,CC,102.3,69.96212499
L023,1,High,22,CC,127.5,78.71893503
L024,1,High,21,CC,110.2,75.36486977
L052,2,High,23,CC,117.2,65.6225522
L053,2,High,21,CC,83.9,57.37851696
L054,2,High,21,CC,94.3,64.49099106
L055,2,High,20,CC,100.3,76.36145801
L061,2,High,24,CC,117.8,60.06672311
L067,2,High,19,CC,101.6,86.58505796
L068,2,High,20,CC,74.9,57.02366111
L069,2,High,19,CC,76.6,65.27967942
L076,2,High,23,CC,115.4,64.61469728
L083,2,High,21,CC,101.8,69.62017907
L091,3,High,25,CC,130.6,60.87711867
L093,3,High,22,CC,107.1,66.12390542
L094,3,High,22,CC,91.9,56.73937348
L095,3,High,22,CC,99.9,61.67860079
L096,3,High,22,CC,128.1,79.08937708
L099,3,High,21,CC,91.6,62.64448338
L100,3,High,20,CC,86,65.47443056
L107,3,High,20,CC,102.4,77.96025231
L114,3,High,16,CC,72.8,90.52468557
L115,3,High,17,CC,54.2,58.98603593
L136,4,High,19,CC,67.5,57.52452166
L137,4,High,22,CC,96,59.27072752
L138,4,High,21,CC,92.4,63.19159669
L139,4,High,20,CC,86.4,65.77896276
L140,4,High,20,CC,78.9,60.06898339
L143,4,High,22,CC,95.6,59.02376612
L166,4,High,22,CC,94,58.03592062
L168,4,High,24,CC,109.4,55.78352729
L172,4,High,22,CC,93.8,57.91243997
L174,4,High,NA,CC,NA,#VALUE!
L196,5,High,21,CC,86.4,59.08824635
L198,5,High,24,CC,126.9,64.70685203
L201,5,High,18,CC,68.1,65.36133695
L211,5,High,19,CC,105.1,89.56781092
L212,5,High,23,CC,103.8,58.11963243
L214,5,High,19,CC,97.5,83.09097575
L215,5,High,19,CC,125.1,106.6121135
L216,5,High,21,CC,89.4,61.13992153
L217,5,High,20,CC,78.1,59.45991897
L218,5,High,22,CC,96.1,59.33246777
L006,1,High,22,GG,115.5,71.31009401
L007,1,High,19,GG,108,92.03923472
L008,1,High,20,GG,96.2,73.24000259
L031,1,High,19,GG,121.3,103.3736959
L032,1,High,21,GG,118.8,81.24633871
L033,1,High,23,GG,117.3,65.67854407
L037,1,High,19,GG,93.2,79.42645073
L038,1,High,24,GG,145.5,74.19107143
L039,1,High,23,GG,119.9,67.13433448
L040,1,High,22,GG,128.6,79.39807863
