Fish ID,Block,Tank,Standard Length (mm),Family Cross,Type Maternal,Type,Wet Weight (mg),Body Condition (mg)
GCJ0049,5,46,20,88,GC,HH,92,70.34694633
GCJ0050,5,42,21,85,CG,HH,101,68.86789823
GCJ0051,4,38,20,71,GC,HH,96,72.70707126
GCJ0052,3,30,19,37,CG,HH,83,70.98952087
GCJ0053,3,29,18,49,GG,GG,67,64.01763839
GCJ0054,3,29,21,51,GG,GG,110,75.15970209
GCJ0055,3,27,20,42,CC,CC,91,69.50948263
GCJ0056,3,26,19,38,CG,HH,68,57.52452166
GCJ0057,3,26,20,38,CG,HH,67,50.70461716
GCJ0058,2,19,22,34,GG,GG,101,62.17252348
GCJ0059,2,16,21,28,GC,HH,93,63.60193183
GCJ0060,2,11,22,28,GC,HH,115,70.69269053
GCJ0061,2,11,23,21,CG,HH,121,67.6942539
GCJ0062,1,5,24,13,GC,HH,151,76.74059286
GCJ0063,1,4,23,13,GC,HH,123,69.0940524
GCJ0065,1,1,18,3,CC,CC,55,52.78815752
GCJ0066,1,1,18,16,CG,HH,42,40.31095666
GCJ0067,1,1,18,13,GC,HH,54,51.8283728
GCJ0068,1,1,19,8,GG,GG,59,50.28069303
GCJ0069,1,1,18,5,CC,CC,52,49.90880346
GCJ0070,1,1,17,11,GG,GG,55,59.85667853
GCJ0071,1,1,17,11,GG,GG,45,48.97364604
GCJ0072,1,1,18,14,GC,HH,56,53.74794227
GCJ0073,1,1,21,13,GC,HH,76,51.97577216
GCJ0074,1,1,20,3,CC,CC,56,42.63451295
GCJ0075,1,1,18,13,GC,HH,56,53.74794227
GCJ0076,1,1,19,13,GC,HH,50,42.61075683
GCJ0077,1,1,19,5,CC,CC,54,46.01961733
GCJ0078,1,1,18,91,CC,CC,66,63.34578902
GCJ0079,1,1,19,8,GG,GG,44,37.497466
GCJ0080,1,1,17,12,GC,HH,39,42.44382654
GCJ0081,1,1,18,18,CG,HH,47,45.10988012
GCJ0082,1,1,19,8,GG,GG,46,39.20189625
GCJ0083,1,1,20,10,GG,GG,64,48.72515766
GCJ0084,1,1,24,16,CG,HH,139,70.87669368
GCJ0085,1,1,18,18,CG,HH,53,50.86858815
GCJ0086,1,1,18,17,CG,HH,47,45.10988012
GCJ0087,1,1,20,16,CG,HH,61,46.44116589
GCJ0088,1,1,17,17,CG,HH,51,55.50346547
GCJ0089,1,1,19,16,CG,HH,57,48.57626275
GCJ0090,1,1,18,16,CG,HH,48,46.06966476
GCJ0091,1,1,18,12,GC,HH,46,44.15009537
GCJ0092,1,1,17,17,CG,HH,48,52.23855582
GCJ0093,1,1,18,17,CG,HH,52,49.90880346
GCJ0094,1,1,20,16,CG,HH,55,41.87318231
GCJ0095,1,1,22,16,CG,HH,78,48.15746615
GCJ0096,1,1,17,17,CG,HH,43,46.79703957
GCJ0097,1,1,18,11,GG,GG,40,38.39138731
GCJ0098,1,1,19,12,GC,HH,48,40.90632655
GCJ0099,1,1,18,9,GG,GG,49,47.02944948
GCJ0100,1,1,19,16,CG,HH,56,47.72404769
GCJ0101,1,1,18,11,GG,GG,43,41.27074133
GCJ0102,1,1,19,11,GG,GG,50,42.61075683
GCJ0103,1,1,16,17,CG,HH,45,55.95619294
GCJ0104,1,1,19,7,GG,GG,66,56.24619899
GCJ0105,1,1,16,12,GC,HH,53,65.9039606
GCJ0106,1,1,17,16,CG,HH,50,54.41516232
GCJ0107,1,1,20,12,GC,HH,58,44.15717417
GCJ0108,1,1,18,11,GG,GG,50,47.98923413
GCJ0109,1,2,19,9,GG,GG,56,47.72404769
GCJ0110,1,2,20,10,GG,GG,63,47.96382702
GCJ0111,1,2,17,9,GG,GG,37,40.26722005
GCJ0112,1,2,20,6,GG,GG,78,59.38378593
GCJ0113,1,2,18,16,CG,HH,41,39.35117195
GCJ0114,1,2,17,13,GC,HH,48,52.23855582
GCJ0115,1,2,16,14,GC,HH,36,44.76495436
GCJ0116,1,2,15,18,CG,HH,35,50.1564151
GCJ0117,1,2,18,13,GC,HH,41,39.35117195
GCJ0118,1,2,17,11,GG,GG,33,35.91400709
GCJ0119,1,2,21,16,CG,HH,72,49.24020519
GCJ0120,1,2,18,11,GG,GG,39,37.43160265
GCJ0121,1,2,18,16,CG,HH,40,38.39138731
GCJ0122,1,2,25,1,CC,CC,143,66.65718208
GCJ0123,1,2,17,16,CG,HH,36,39.17891683
GCJ0124,1,2,18,16,CG,HH,44,42.23052602
GCJ0125,1,2,22,4,CC,CC,116,71.61879572
GCJ0126,1,2,16,17,CG,HH,35,43.52148344
GCJ0127,1,2,23,12,GC,HH,123,68.87008468
GCJ0128,1,2,15,12,GC,HH,30,42.99121291
GCJ0129,1,2,19,11,GG,GG,53,45.16740221
GCJ0130,1,2,17,14,GC,HH,42,45.70873634
GCJ0131,1,2,17,14,GC,HH,36,39.17891683
GCJ0132,1,2,18,12,GC,HH,41,39.35117195
GCJ0133,1,2,16,18,CG,HH,33,41.03454148
GCJ0134,1,2,25,3,CC,CC,160,74.58146244
GCJ0135,1,2,20,91,CC,CC,76,57.86112468
GCJ0136,1,2,18,9,GG,GG,41,39.35117195
