Fish ID,Block,Tank,Standard Length (mm),Type,Wet Weight (mg),dN15,dC13
GCJ0065,1,1,18,CC,55,9.88075,-21.66883333
GCJ0069,1,1,18,CC,52,11.69075,-20.92983333
GCJ0074,1,1,20,CC,56,11.28375,-21.19483333
GCJ0077,1,1,19,CC,54,10.53975,-20.50683333
GCJ0078,1,1,18,CC,66,11.56875,-21.15183333
GCJ0083,1,1,20,GG,64,11.69775,-21.31383333
GCJ0099,1,1,18,GG,49,11.92675,-21.48383333
GCJ0101,1,1,18,GG,43,11.46875,-20.76083333
GCJ0104,1,1,19,GG,66,11.93475,-20.70883333
GCJ0108,1,1,18,GG,50,11.72575,-20.97683333
GCJ0073,1,1,21,HH,76,11.29675,-20.20383333
GCJ0084,1,1,24,HH,139,10.41775,-20.19983333
GCJ0085,1,1,18,HH,53,10.72075,-20.44283333
GCJ0087,1,1,20,HH,61,10.93575,-20.03183333
GCJ0095,1,1,22,HH,78,10.95475,-21.19183333
GCJ0122,1,2,25,CC,143,10.4505,-21.06072727
GCJ0125,1,2,22,CC,116,10.4215,-21.90572727
GCJ0135,1,2,20,CC,76,10.9845,-21.88772727
GCJ0110,1,2,20,GG,63,10.8905,-21.26172727
GCJ0112,1,2,20,GG,78,11.8835,-21.20272727
GCJ0138,1,2,20,GG,73,11.7365,-21.66872727
GCJ0119,1,2,21,HH,72,11.1915,-21.44672727
GCJ0127,1,2,23,HH,123,10.0215,-20.87672727
GCJ0139,1,2,20,HH,49,10.2805,-20.58672727
GCJ0148,1,3,22,CC,103,11.0395,-21.30872727
GCJ0159,1,3,23,CC,106.9,11.2335,-22.85172727
GCJ0162,1,3,15,CC,27.2,10.2105,-20.85072727
GCJ0154,1,3,20,GG,72,12.3235,-22.03172727
GCJ0141,1,3,19,HH,62,10.8295,-20.57872727
GCJ0146,1,3,15,HH,60,10.8635,-20.42372727
GCJ0153,1,3,20,HH,72,11.5935,-21.09072727
GCJ0167,1,4,21,CC,104.2,11.7445,-24.83372727
GCJ0172,1,4,21,GG,71.3,10.1935,-22.37072727
GCJ0179,1,4,21,GG,53.5,10.0865,-21.96372727
GCJ0063,1,4,23,HH,123.4,8.9215,-20.77272727
GCJ0169,1,4,21,HH,57.4,9.3245,-20.99372727
GCJ0181,1,4,21,HH,77.3,9.6375,-21.35972727
GCJ0194,1,5,23,CC,85,10.1655,-22.21172727
