Tank,Lineage,Density,Block,Total surviving juveniles (#),Survivors Constance (#),Survivors Geneva (#),Survivors Hybrid (#)
1,Geneva,Low,1,44,5,12,27
2,Constance,High,1,33,4,11,18
3,Constance,High,1,24,3,1,20
4,Control,Control,1,20,1,3,16
5,Geneva,Low,1,27,1,5,21
6,Mix,Mix,1,37,3,8,26
7,Geneva,High,1,31,3,3,24
8,Constance,Low,1,41,2,10,29
9,Geneva,High,1,36,5,9,22
10,Constance,Low,1,40,5,13,22
11,Geneva,High,2,34,4,3,27
12,Mix,Mix,2,38,3,10,25
13,Constance,Low,2,58,6,24,28
14,Constance,High,2,48,12,12,24
15,Geneva,High,2,39,7,8,24
16,Geneva,Low,2,42,6,11,25
17,Geneva,Low,2,34,2,13,19
18,Constance,Low,2,65,17,20,28
19,Control,Control,2,39,6,12,21
20,Constance,High,2,69,16,24,29
21,Geneva,Low,3,41,8,10,23
22,Geneva,Low,3,20,7,3,10
23,Constance,High,3,51,13,13,24
24,Constance,Low,3,22,6,3,13
25,Constance,High,3,49,12,13,23
26,Control,Control,3,31,4,9,18
27,Mix,Mix,3,49,12,15,22
28,Constance,Low,3,46,9,15,22
29,Geneva,High,3,46,11,14,21
30,Geneva,High,3,34,11,5,18
31,Control,Control,4,34,1,13,20
32,Mix,Mix,4,20,0,7,13
33,Geneva,Low,4,43,7,17,19
34,Geneva,High,4,52,10,22,20
35,Constance,Low,4,36,5,16,15
36,Constance,High,4,49,4,21,24
37,Constance,Low,4,42,6,18,18
38,Geneva,High,4,57,11,21,25
39,Constance,High,4,46,4,18,24
40,Geneva,Low,4,39,4,18,17
41,Geneva,High,5,41,7,12,22
42,Geneva,High,5,38,7,10,21
43,Constance,High,5,50,9,15,26
44,Geneva,Low,5,19,3,3,13
45,Control,Control,5,47,9,12,26
46,Constance,High,5,73,17,24,31
47,Constance,Low,5,60,10,20,30
48,Mix,Mix,5,87,31,29,27
49,Constance,Low,5,52,6,19,27
50,Geneva,Low,5,7,0,1,6
