Stream,year,replicate,TREATMENT,survival,sizeclass
Aripo,"1,996",1,Decrease (0.5x),0.00,1.00
Aripo,"1,996",1,Decrease (0.5x),0.00,1.00
Aripo,"1,996",1,Decrease (0.5x),0.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Decrease (0.5x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Control (1x),1.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),0.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
Aripo,"1,996",1,Increase (2x),1.00,1.00
