Drainage,Pred,family,CUE,length
Guanapo,LP,TL-C201,hp,14.865
Guanapo,LP,TL-C201,lp,15.661
Guanapo,LP,TL-C202,lp,15.967
Guanapo,LP,TL-C202,hp,14.557
Guanapo,LP,TL-C203,hp,13.126
Guanapo,LP,TL-C203,lp,16.108
Guanapo,LP,TL-C208,lp,15.574
Guanapo,LP,TL-C208,hp,14.076
Guanapo,LP,TL-C209,lp,15.772
Guanapo,LP,TL-C209,hp,15.443
Guanapo,LP,TL-C211,hp,13.998
Guanapo,LP,TL-C211,lp,16.243
Guanapo,LP,TL-C215,hp,14.692
Guanapo,LP,TL-C215,lp,17.432
Guanapo,LP,TL-C216,hp,14.481
Guanapo,LP,TL-C216,lp,17.666
Guanapo,LP,TL-C218,hp,14.918
Guanapo,LP,TL-C218,lp,16.906
Guanapo,LP,TL-C219,hp,14.241
Guanapo,LP,TL-C219,lp,17.164
Guanapo,LP,TL-C220,hp,14.582
Guanapo,LP,TL-C220,lp,15.337
Guanapo,LP,TL-C221,hp,14.7
Guanapo,LP,TL-C221,lp,16.755
Guanapo,LP,TL-C224,hp,14.674
Guanapo,LP,TL-C224,lp,15.777
Guanapo,LP,TL-C225,hp,14.555
Guanapo,LP,TL-C225,lp,16.886
Guanapo,LP,TL-C226,hp,14.413
Guanapo,LP,TL-C226,lp,15.564
Guanapo,HP,GH-C201,hp,14.581
Guanapo,HP,GH-C201,lp,16.591
Guanapo,HP,GH-C202,hp,14.34
Guanapo,HP,GH-C202,lp,14.628
Guanapo,HP,GH-C204,hp,15.843
Guanapo,HP,GH-C204,lp,14.812
Guanapo,HP,GH-C205,hp,15.572
Guanapo,HP,GH-C205,lp,16.691
Guanapo,HP,GH-C206,hp,13.971
Guanapo,HP,GH-C206,lp,16.045
Guanapo,HP,GH-C207,hp,15.533
Guanapo,HP,GH-C207,lp,17.053
Guanapo,HP,GH-C208,hp,15.383
Guanapo,HP,GH-C208,lp,16.235
Guanapo,HP,GH-C209,hp,13.701
Guanapo,HP,GH-C209,lp,15.812
Guanapo,HP,GH-C210,hp,14.811
Guanapo,HP,GH-C210,lp,16.124
Guanapo,HP,GH-C211,hp,13.867
Guanapo,HP,GH-C211,lp,14.603
Guanapo,HP,GH-C212,hp,15.412
Guanapo,HP,GH-C212,lp,15.772
Guanapo,HP,GH-C213,hp,14.309
Guanapo,HP,GH-C213,lp,14.977
Guanapo,HP,GH-C215,hp,16.34
Guanapo,HP,GH-C215,lp,15.764
Guanapo,HP,GH-C216,hp,14.508
Guanapo,HP,GH-C216,lp,15.344
Guanapo,HP,GH-C217,hp,14.508
Guanapo,HP,GH-C217,lp,14.409
Guanapo,HP,GH-C218,hp,13.983
Guanapo,HP,GH-C218,lp,15.109
Guanapo,HP,GH-C220,hp,13.699
Guanapo,HP,GH-C220,lp,16.154
Guanapo,HP,GH-C221,hp,16.387
Guanapo,HP,GH-C221,lp,16.471
Guanapo,HP,GH-C222,hp,13.803
Guanapo,HP,GH-C222,lp,14.815
Guanapo,HP,GH-C223,lp,16.882
Guanapo,HP,GH-C223,hp,16.124
Guanapo,HP,GH-C224,hp,14.086
Guanapo,HP,GH-C224,lp,16.136
Guanapo,HP,GH-C226,hp,15.271
Guanapo,HP,GH-C226,lp,16.523
Guanapo,HP,GH-C230,hp,14.987
Guanapo,HP,GH-C230,lp,15.972
Yarra,LP,YL-112,lp,16.4
Yarra,LP,YL-112,lp,18.437
Yarra,LP,YL-113,lp,17.618
Yarra,LP,YL-113,lp,17.15
Yarra,LP,YL-116,lp,15.741
Yarra,LP,YL-116,lp,16.078
Yarra,LP,YL-117,lp,16.762
Yarra,LP,YL-117,lp,17.821
Yarra,LP,YL-118,lp,16.555
Yarra,LP,YL-123,lp,16.532
Yarra,LP,YL-123,lp,16.168
Yarra,LP,YL-123,lp,15.767
Yarra,LP,YL-123,lp,17.096
Yarra,LP,YL-122,lp,15.675
Yarra,LP,YL-124,lp,15.516
Yarra,LP,YL-124,lp,16.155
Yarra,LP,YL-112,hp,18.088
Yarra,LP,YL-113,hp,14.811
Yarra,LP,YL-113,hp,15.088
Yarra,LP,YL-116,hp,15.393
Yarra,LP,YL-116,hp,16.281
Yarra,LP,YL-116,hp,15.687
Yarra,LP,YL-117,hp,15.552
Yarra,LP,YL-122,hp,15.742
Yarra,LP,YL-122,hp,15.457
Yarra,LP,YL-123,hp,16.615
Yarra,LP,YL-123,hp,16.219
Yarra,LP,YL-124,hp,14.542
Yarra,LP,YL-124,hp,14.999
Yarra,LP,YL-125,hp,15.734
Yarra,HP,YH-112,lp,14.817
Yarra,HP,YH-112,lp,15.961
Yarra,HP,YH-112,lp,14.606
Yarra,HP,YH-113,lp,17.294
Yarra,HP,YH-114,lp,14.205
Yarra,HP,YH-115,lp,17.46
Yarra,HP,YH-115,lp,16.053
Yarra,HP,YH-115,lp,16.755
Yarra,HP,YH-115,lp,16.293
Yarra,HP,YH-116,lp,15.71
Yarra,HP,YH-116,lp,15.972
Yarra,HP,YH-117,lp,16.372
Yarra,HP,YH-117,lp,15.492
Yarra,HP,YH-118,lp,14.596
Yarra,HP,YH-119,lp,14.237
Yarra,HP,YH-123,lp,14.75
Yarra,HP,YH-123,lp,14.873
Yarra,HP,YH-124,lp,15.502
Yarra,HP,YH-126,lp,16.51
Yarra,HP,YH-126,lp,15.206
Yarra,HP,YH-126,lp,16.429
Yarra,HP,YH-112,hp,15.196
Yarra,HP,YH-112,hp,14.705
Yarra,HP,YH-112,hp,15.418
Yarra,HP,YH-113,hp,15.151
Yarra,HP,YH-113,hp,15.431
Yarra,HP,YH-116,hp,16.481
Yarra,HP,YH-117,hp,15.257
Yarra,HP,YH-117,hp,15.798
Yarra,HP,YH-117,hp,14.648
Yarra,HP,YH-118,hp,15.385
Yarra,HP,YH-119,hp,14.673
Yarra,HP,YH-120,hp,15.646
Yarra,HP,YH-120,hp,15.578
Yarra,HP,YH-120,hp,16.567
Yarra,HP,YH-123,hp,15.898
Yarra,HP,YH-123,hp,15.582
Yarra,HP,YH-126,hp,14.923
Yarra,HP,YH-126,hp,14.102
Yarra,HP,YH-126,hp,18.328
Yarra,HP,YH-126,hp,14.607
Yarra,HP,YH-127,hp,14.335
Yarra,HP,YH-127,hp,14.656
