X	Y	Person	Replicate	n	survived
Ac	0.3	1	1	40	12
A	0.125	1	1	40	5
Ac	0.230769231	1	2	39	9
A	0.105263158	1	2	38	4
Ac	0.052631579	1	3	38	2
A	0.051282051	1	3	39	2
Ac	0.641025641	2	1	39	25
A	0.8125	2	1	32	26
Ac	0.7	2	2	40	28
A	0.775	2	2	40	31
Ac	0.769230769	2	3	39	30
A	0.820512821	2	3	39	32
Ac	0.222222222	3	1	36	8
A	0.35	3	1	40	14
Ac	0.117647059	3	2	34	4
A	0.257142857	3	2	35	9
Ac	0.28125	3	3	32	9
A	0.176470588	3	3	34	6
Bc	0.333333333	1	1	36	12
B	0.428571429	1	1	28	12
Bc	0.393939394	1	2	33	13
B	0.4	1	2	35	14
Bc	0.137931034	1	3	29	4
B	0.212121212	1	3	33	7
Bc	0.75	2	1	36	27
B	0.666666667	2	1	39	26
Bc	0.657142857	2	2	35	23
B	0.527777778	2	2	36	19
Bc	0.473684211	2	3	38	18
B	0.394736842	2	3	38	15
Bc	0.185185185	3	1	27	5
B	0.3125	3	1	32	10
Bc	0.238095238	3	2	21	5
B	0.15625	3	2	32	5
Bc	0.35483871	3	3	31	11
B	0.130434783	3	3	23	3
Cc	0.03030303	1	1	33	1
C	0.135135135	1	1	37	5
Cc	0.054054054	1	2	37	2
C	0.171428571	1	2	35	6
Cc	0.2	1	3	35	7
C	0.125	1	3	32	4
Cc	0.666666667	2	1	36	24
C	0.525	2	1	40	21
Cc	0.325	2	2	40	13
C	0.62962963	2	2	27	17
Cc	0.184210526	2	3	38	7
C	0.631578947	2	3	38	24
Cc	0.117647059	3	1	34	4
C	0.243243243	3	1	37	9
Cc	0.303030303	3	2	33	10
C	0.181818182	3	2	33	6
Cc	0.269230769	3	3	26	7
C	0.206896552	3	3	29	6
